,from,from_rounded,from_location,to_haven,trip_ID,vessel_mmsi,geometry
10233,2022-09-04 18:50:19+00:00,2022-09-04 19:00:00+00:00,"[4.07925, 51.97898]",LNG,5828,311038700,POINT (4.07925 51.97898)
10250,2022-09-04 21:27:09+00:00,2022-09-04 21:00:00+00:00,"[4.14137, 51.95717]",CK7PET,5838,538004169,POINT (4.14137 51.95717)
10251,2022-09-04 21:27:09+00:00,2022-09-04 21:00:00+00:00,"[4.14137, 51.95717]",CK7PET,5838,538004169,POINT (4.14137 51.95717)
10252,2022-09-04 21:27:17+00:00,2022-09-04 21:00:00+00:00,"[4.06117, 51.9846]",CK7PET,5838,538004169,POINT (4.06117 51.9846)
10253,2022-09-04 21:27:11+00:00,2022-09-04 21:00:00+00:00,"[4.06117, 51.9846]",CK7PET,5838,538004169,POINT (4.06117 51.9846)
10254,2022-09-04 22:22:43+00:00,2022-09-04 22:00:00+00:00,"[4.07482, 51.98028]",PET8,5839,240834000,POINT (4.07482 51.98028)
10255,2022-09-04 22:22:47+00:00,2022-09-04 22:00:00+00:00,"[4.06393, 51.98315]",PET8,5839,240834000,POINT (4.06393 51.98315)
10256,2022-09-04 22:22:45+00:00,2022-09-04 22:00:00+00:00,"[4.06393, 51.98315]",PET8,5839,240834000,POINT (4.06393 51.98315)
10257,2022-09-04 23:18:04+00:00,2022-09-04 23:00:00+00:00,"[4.12154, 51.96544]",5PET,5840,257086850,POINT (4.12154 51.96544)
10258,2022-09-04 23:18:07+00:00,2022-09-04 23:00:00+00:00,"[4.12154, 51.96544]",5PET,5840,257086850,POINT (4.12154 51.96544)
10259,2022-09-05 00:26:35+00:00,2022-09-05 00:00:00+00:00,"[4.40652, 51.89889]",WAAL,5841,231356000,POINT (4.40652 51.89889)
10260,2022-09-05 00:23:43+00:00,2022-09-05 00:00:00+00:00,"[4.08572, 51.96547]",AMAZ,5842,314292000,POINT (4.08572 51.96547)
10263,2022-09-05 00:33:54+00:00,2022-09-05 01:00:00+00:00,"[4.3071, 51.89462]",1PET,5844,538003924,POINT (4.3071 51.89462)
10264,2022-09-05 00:33:52+00:00,2022-09-05 01:00:00+00:00,"[4.3071, 51.89462]",1PET,5844,538003924,POINT (4.3071 51.89462)
10265,2022-09-05 00:49:01+00:00,2022-09-05 01:00:00+00:00,"[4.14633, 51.95467]",7PET,5845,219309000,POINT (4.14633 51.95467)
10266,2022-09-05 00:48:56+00:00,2022-09-05 01:00:00+00:00,"[4.14633, 51.95467]",7PET,5845,219309000,POINT (4.14633 51.95467)
10267,2022-09-05 03:10:06+00:00,2022-09-05 03:00:00+00:00,"[4.2843, 51.89872]",BOTL,5846,538008368,POINT (4.2843 51.89872)
10268,2022-09-05 03:10:09+00:00,2022-09-05 03:00:00+00:00,"[4.2843, 51.89872]",BOTL,5846,538008368,POINT (4.2843 51.89872)
10269,2022-09-05 03:25:21+00:00,2022-09-05 03:00:00+00:00,"[4.38663, 51.89675]",FRISO,5847,636019065,POINT (4.38663 51.89675)
10273,2022-09-05 05:11:18+00:00,2022-09-05 05:00:00+00:00,"[4.38606, 51.89665]",PWAH,5850,210195000,POINT (4.38606 51.89665)
10274,2022-09-05 05:06:14+00:00,2022-09-05 05:00:00+00:00,"[4.28017, 51.89932]",STLAU,5851,636018393,POINT (4.28017 51.89932)
10275,2022-09-05 05:01:15+00:00,2022-09-05 05:00:00+00:00,"[4.27018, 51.90337]",STLAU,5851,636018393,POINT (4.27018 51.90337)
10276,2022-09-05 05:57:20+00:00,2022-09-05 06:00:00+00:00,"[4.08818, 51.96941]",EURO,5852,356205000,POINT (4.08818 51.96941)
10277,2022-09-05 05:52:20+00:00,2022-09-05 06:00:00+00:00,"[4.07928, 51.97888]",EURO,5852,356205000,POINT (4.07928 51.97888)
10278,2022-09-05 06:37:55+00:00,2022-09-05 07:00:00+00:00,"[4.2979, 51.89536]",1WH,5853,205103000,POINT (4.2979 51.89536)
